区间,频率,PK+ 电平,PK+: QPK 限值,PK+ 容许极限,AVG 电平,AVG 限值,AVG 容许极限,修正,线,备注
1,0.2536458,25.33855,79,53.66145,14.95405,66,51.04595,19.39,"L1",
1,0.2577917,25.04475,79,53.95525,15.12838,66,50.87162,19.39,"L1",
1,0.2619375,24.60587,79,54.39413,15.1793,66,50.8207,19.39,"L1",
1,0.2660833,25.18493,79,53.81507,15.09547,66,50.90453,19.39,"L1",
1,0.2702292,25.6321,79,53.3679,15.14687,66,50.85313,19.39,"L1",
1,0.2743750,25.61257,79,53.38743,15.33927,66,50.66073,19.39,"L1",
1,0.2785208,25.64368,79,53.35632,15.56226,66,50.43774,19.39,"L1",
1,0.2826667,25.74767,79,53.25233,15.54592,66,50.45408,19.39,"L1",
1,0.2868125,26.08765,79,52.91235,15.44212,66,50.55788,19.39,"L1",
1,0.2909583,24.5863,79,54.4137,15.21875,66,50.78125,19.39,"L1",
1,0.2951042,26.45642,79,52.54358,15.52657,66,50.47343,19.39,"L1",
1,0.2992500,26.11458,79,52.88542,15.45557,66,50.54443,19.39,"L1",
1,0.3033958,25.57117,79,53.42883,15.14951,66,50.85049,19.39,"L1",
1,0.3075417,24.9138,79,54.0862,15.22119,66,50.77881,19.39,"L1",
1,0.3116875,25.37701,79,53.62299,15.25491,66,50.74509,19.39,"L1",
1,0.3158333,25.37271,79,53.62729,15.34937,66,50.65063,19.39,"L1",
1,0.3199792,25.59791,79,53.40209,15.34036,66,50.65964,19.39,"L1",
1,0.3241250,26.10574,79,52.89426,15.38405,66,50.61595,19.39,"L1",
1,0.3282708,26.45333,79,52.54667,15.20795,66,50.79205,19.39,"L1",
1,0.3324167,26.38529,79,52.61471,15.06612,66,50.93388,19.39,"L1",
1,0.3365625,25.992,79,53.008,14.91761,66,51.08239,19.39,"L1",
1,0.3407083,26.67857,79,52.32143,15.00904,66,50.99096,19.39,"L1",
1,0.3448542,26.71422,79,52.28578,15.29391,66,50.70609,19.39,"L1",
1,0.3490000,25.34618,79,53.65382,15.29842,66,50.70158,19.39,"L1",
1,0.3531458,25.31745,79,53.68255,15.22715,66,50.77285,19.39,"L1",
1,0.3572917,25.15977,79,53.84023,15.28619,66,50.71381,19.39,"L1",
1,0.3614375,25.26492,79,53.73508,15.27141,66,50.72859,19.39,"L1",
1,0.3655833,24.7752,79,54.2248,15.25639,66,50.74361,19.39,"L1",
1,0.3697292,25.782,79,53.218,15.23684,66,50.76316,19.39,"L1",
1,0.3738750,25.43317,79,53.56683,15.1377,66,50.8623,19.39,"L1",
1,0.3780208,25.07814,79,53.92186,15.40551,66,50.59449,19.39,"L1",
1,0.3821667,24.78747,79,54.21253,15.38736,66,50.61264,19.39,"L1",
1,0.3863125,24.95435,79,54.04565,15.48463,66,50.51537,19.39,"L1",
1,0.3904583,25.12608,79,53.87392,15.76686,66,50.23314,19.39,"L1",
1,0.3946042,25.40753,79,53.59247,15.92924,66,50.07076,19.39,"L1",
1,0.3987500,24.59451,79,54.40549,16.11735,66,49.88265,19.39,"L1",
1,0.4028958,25.87821,79,53.12179,16.08517,66,49.91483,19.39,"L1",
1,0.4070417,26.60439,79,52.39561,15.9785,66,50.0215,19.39,"L1",
1,0.4111875,26.59828,79,52.40172,16.09563,66,49.90437,19.39,"L1",
1,0.4153333,27.32415,79,51.67585,16.49052,66,49.50948,19.39,"L1",
1,0.4194792,27.03532,79,51.96468,16.53769,66,49.46231,19.39,"L1",
1,0.4236250,26.53125,79,52.46875,16.67875,66,49.32125,19.39,"L1",
1,0.4277708,26.21078,79,52.78922,16.7908,66,49.2092,19.39,"L1",
1,0.4319167,26.37486,79,52.62514,16.68808,66,49.31192,19.39,"L1",
1,0.4360625,25.988,79,53.012,16.8455,66,49.1545,19.39,"L1",
1,0.4402083,25.82907,79,53.17093,17.36852,66,48.63148,19.39,"L1",
1,0.4443542,26.0174,79,52.9826,17.32811,66,48.67189,19.39,"L1",
1,0.4485000,26.85929,79,52.14071,17.12982,66,48.87018,19.39,"L1",
1,0.4526458,27.40519,79,51.59481,17.06444,66,48.93556,19.39,"L1",
1,0.4567917,26.98991,79,52.01009,17.18719,66,48.81281,19.39,"L1",
1,0.4609375,27.38478,79,51.61522,17.29541,66,48.70459,19.39,"L1",
1,0.4650833,28.10213,79,50.89787,17.34569,66,48.65431,19.39,"L1",
1,0.4692292,28.22844,79,50.77156,17.16162,66,48.83838,19.39,"L1",
1,0.4733750,28.28705,79,50.71295,17.12426,66,48.87574,19.39,"L1",
1,0.4775208,25.74084,79,53.25916,17.18971,66,48.81029,19.39,"L1",
1,0.4816667,26.32071,79,52.67929,17.16363,66,48.83637,19.39,"L1",
1,0.4858125,26.82239,79,52.17761,17.0004,66,48.9996,19.39,"L1",
1,0.4899583,27.62542,79,51.37458,17.14159,66,48.85841,19.39,"L1",
1,0.4941042,27.75192,79,51.24808,16.93618,66,49.06382,19.39,"L1",
1,0.4982500,26.93877,79,52.06123,16.81234,66,49.18766,19.39,"L1",
1,0.5023958,25.92396,73,47.07604,16.98,60,43.02,19.39,"L1",
1,0.5065417,26.74167,73,46.25833,17.02392,60,42.97608,19.39,"L1",
1,0.5106875,27.48428,73,45.51572,16.97011,60,43.02989,19.39,"L1",
1,0.5148333,26.96823,73,46.03177,16.864,60,43.136,19.39,"L1",
1,0.5189792,26.5277,73,46.4723,16.74107,60,43.25893,19.39,"L1",
1,0.5231250,26.53569,73,46.46431,16.79871,60,43.20129,19.39,"L1",
1,0.5272708,26.38361,73,46.61639,16.74212,60,43.25788,19.39,"L1",
1,0.5314167,26.20216,73,46.79784,16.83923,60,43.16077,19.39,"L1",
1,0.5355625,25.93052,73,47.06948,16.60873,60,43.39127,19.39,"L1",
1,0.5397083,27.32729,73,45.67271,16.58938,60,43.41062,19.39,"L1",
1,0.5438542,27.2904,73,45.7096,16.99039,60,43.00961,19.39,"L1",
1,0.5480000,25.93269,73,47.06731,16.6482,60,43.3518,19.39,"L1",
1,0.5521458,26.15997,73,46.84003,16.30205,60,43.69795,19.39,"L1",
1,0.5562917,27.16223,73,45.83777,16.44121,60,43.55879,19.39,"L1",
1,0.5604375,28.01049,73,44.98951,16.5014,60,43.4986,19.39,"L1",
1,0.5645833,27.37798,73,45.62202,16.44157,60,43.55843,19.39,"L1",
1,0.5687292,25.91083,73,47.08917,16.43622,60,43.56378,19.39,"L1",
1,0.5728750,26.87986,73,46.12014,16.23985,60,43.76015,19.39,"L1",
1,0.5770208,26.84451,73,46.15549,16.43996,60,43.56004,19.39,"L1",
1,0.5811667,25.6685,73,47.3315,16.5264,60,43.4736,19.39,"L1",
1,0.5853125,26.33881,73,46.66119,16.40276,60,43.59724,19.39,"L1",
1,0.5894583,25.30629,73,47.69371,16.01155,60,43.98845,19.39,"L1",
1,0.5936042,24.88078,73,48.11922,15.81453,60,44.18547,19.39,"L1",
1,0.5977500,25.10345,73,47.89655,15.95605,60,44.04395,19.39,"L1",
1,0.6018958,25.70872,73,47.29128,16.11162,60,43.88837,19.3902,"L1",
1,0.6060417,26.12855,73,46.87145,16.09236,60,43.90765,19.39065,"L1",
1,0.6101875,26.03233,73,46.96767,16.07042,60,43.92958,19.39109,"L1",
1,0.6143333,26.32162,73,46.67838,16.15524,60,43.84476,19.39153,"L1",
1,0.6184792,25.63249,73,47.36751,16.32763,60,43.67237,19.39197,"L1",
1,0.6226250,26.34266,73,46.65734,16.13562,60,43.86438,19.3924,"L1",
1,0.6267708,25.76319,73,47.23681,16.04535,60,43.95465,19.39283,"L1",
1,0.6309167,24.64347,73,48.35654,16.10078,60,43.89922,19.39326,"L1",
1,0.6350625,26.19083,73,46.80917,15.88943,60,44.11057,19.39368,"L1",
1,0.6392083,26.95993,73,46.04007,16.00161,60,43.99839,19.39411,"L1",
1,0.6433542,27.02285,73,45.97715,16.16825,60,43.83175,19.39453,"L1",
1,0.6475000,26.43021,73,46.56979,15.94237,60,44.05763,19.39494,"L1",
1,0.6516458,24.91809,73,48.08191,15.73258,60,44.26742,19.39536,"L1",
1,0.6557917,25.21805,73,47.78195,15.77189,60,44.22811,19.39577,"L1",
1,0.6599375,25.43192,73,47.56808,15.96674,60,44.03326,19.39618,"L1",
1,0.6640833,25.53551,73,47.46449,16.01826,60,43.98174,19.39658,"L1",
1,0.6682292,25.66656,73,47.33344,15.73158,60,44.26842,19.39699,"L1",
1,0.6723750,25.29623,73,47.70377,15.68746,60,44.31254,19.39739,"L1",
1,0.6765208,25.87183,73,47.12817,15.97468,60,44.02532,19.39779,"L1",
1,0.6806667,26.11088,73,46.88912,16.01178,60,43.98822,19.39818,"L1",
1,0.6848125,26.0062,73,46.9938,15.96625,60,44.03375,19.39858,"L1",
1,0.6889583,25.72237,73,47.27763,16.01833,60,43.98167,19.39897,"L1",
1,0.6931042,25.41434,73,47.58566,15.98768,60,44.01232,19.39936,"L1",
1,0.6972500,27.49628,73,45.50372,15.71422,60,44.28578,19.39974,"L1",
1,0.7013958,27.4249,73,45.5751,15.59471,60,44.40529,19.40005,"L1",
1,0.7055417,26.67658,73,46.32342,15.59976,60,44.40024,19.40022,"L1",
1,0.7096875,25.02157,73,47.97843,15.88305,60,44.11695,19.40038,"L1",
1,0.7138333,24.98169,73,48.01831,15.93123,60,44.06877,19.40055,"L1",
1,0.7179792,25.11869,73,47.88131,15.72356,60,44.27644,19.40071,"L1",
1,0.7221250,25.79362,73,47.20638,15.68874,60,44.31126,19.40087,"L1",
1,0.7262708,25.05709,73,47.94291,15.76013,60,44.23988,19.40103,"L1",
1,0.7304167,24.89106,73,48.10894,15.68366,60,44.31634,19.40119,"L1",
1,0.7345625,27.12527,73,45.87473,15.57191,60,44.42809,19.40135,"L1",
1,0.7387083,27.05512,73,45.94488,15.57114,60,44.42886,19.40151,"L1",
1,0.7428542,25.04097,73,47.95903,15.47553,60,44.52448,19.40166,"L1",
1,0.7470000,25.694,73,47.306,15.4702,60,44.5298,19.40182,"L1",
1,0.7511458,25.62103,73,47.37897,15.60948,60,44.39052,19.40198,"L1",
1,0.7552917,25.68907,73,47.31093,15.82563,60,44.17437,19.40213,"L1",
1,0.7594375,25.85944,73,47.14056,15.70107,60,44.29893,19.40228,"L1",
1,0.7635833,25.05908,73,47.94093,15.55549,60,44.44451,19.40244,"L1",
1,0.7677292,24.90031,73,48.09969,15.6227,60,44.3773,19.40259,"L1",
1,0.7718750,25.02274,73,47.97726,15.55885,60,44.44115,19.40274,"L1",
1,0.7760208,25.62119,73,47.37881,15.75889,60,44.24111,19.40289,"L1",
1,0.7801667,25.68511,73,47.3149,15.65512,60,44.34488,19.40304,"L1",
1,0.7843125,24.35881,73,48.64119,15.44768,60,44.55232,19.40319,"L1",
1,0.7884583,24.79762,73,48.20238,15.39591,60,44.60409,19.40334,"L1",
1,0.7926042,25.06014,73,47.93987,15.49022,60,44.50978,19.40348,"L1",
1,0.7967500,25.29963,73,47.70037,15.33277,60,44.66723,19.40363,"L1",
1,0.8008958,25.49096,73,47.50904,15.1619,60,44.8381,19.40387,"L1",
1,0.8050417,25.0374,73,47.9626,15.1046,60,44.8954,19.40445,"L1",
1,0.8091875,24.57443,73,48.42557,15.17835,60,44.82165,19.40503,"L1",
1,0.8133333,24.55289,73,48.44711,15.20242,60,44.79758,19.40561,"L1",
1,0.8174792,24.34532,73,48.65468,15.3044,60,44.6956,19.40619,"L1",
1,0.8216250,26.50322,73,46.49678,15.34934,60,44.65066,19.40676,"L1",
1,0.8257708,26.38762,73,46.61237,15.48773,60,44.51227,19.40732,"L1",
1,0.8299167,24.16625,73,48.83375,15.32206,60,44.67794,19.40789,"L1",
1,0.8340625,25.06087,73,47.93913,15.30717,60,44.69283,19.40845,"L1",
1,0.8382083,25.61591,73,47.38409,15.39946,60,44.60054,19.40901,"L1",
1,0.8423542,25.01948,73,47.98052,15.23535,60,44.76465,19.40957,"L1",
1,0.8465000,24.80372,73,48.19627,14.91599,60,45.08401,19.41012,"L1",
1,0.8506458,25.34332,73,47.65668,14.78809,60,45.21191,19.41068,"L1",
1,0.8547917,24.97003,73,48.02998,14.93733,60,45.06267,19.41123,"L1",
1,0.8589375,24.46351,73,48.53648,15.12301,60,44.87699,19.41177,"L1",
1,0.8630833,24.62375,73,48.37625,15.02351,60,44.97649,19.41232,"L1",
1,0.8672292,25.58455,73,47.41545,15.06831,60,44.93169,19.41286,"L1",
1,0.8713750,25.47403,73,47.52597,15.12322,60,44.87678,19.41339,"L1",
1,0.8755208,25.57744,73,47.42255,15.29421,60,44.70579,19.41393,"L1",
1,0.8796667,25.01813,73,47.98187,15.16302,60,44.83698,19.41446,"L1",
1,0.8838125,25.15244,73,47.84756,14.92021,60,45.07978,19.415,"L1",
1,0.8879583,25.26493,73,47.73507,14.93583,60,45.06417,19.41553,"L1",
1,0.8921042,25.43364,73,47.56636,14.8412,60,45.1588,19.41605,"L1",
1,0.8962500,24.25688,73,48.74312,14.69541,60,45.3046,19.41657,"L1",
1,0.9003958,24.58386,73,48.41615,14.86302,60,45.13699,19.41702,"L1",
1,0.9045417,25.59916,73,47.40084,15.17418,60,44.82582,19.41671,"L1",
1,0.9086875,25.6167,73,47.3833,15.24475,60,44.75525,19.4164,"L1",
1,0.9128333,24.41824,73,48.58176,15.16491,60,44.83509,19.4161,"L1",
1,0.9169792,24.84709,73,48.15291,15.09831,60,44.9017,19.4158,"L1",
1,0.9211250,24.88742,73,48.11258,15.16216,60,44.83784,19.41549,"L1",
1,0.9252708,24.97025,73,48.02975,15.03099,60,44.96901,19.41519,"L1",
1,0.9294167,24.84728,73,48.15272,14.78051,60,45.21949,19.4149,"L1",
1,0.9335625,23.87427,73,49.12573,15.23892,60,44.76108,19.4146,"L1",
1,0.9377083,23.94258,73,49.05742,15.10221,60,44.89779,19.4143,"L1",
1,0.9418542,24.03959,73,48.96041,14.93379,60,45.06621,19.41401,"L1",
1,0.9460000,23.99909,73,49.00091,14.84554,60,45.15446,19.41371,"L1",
1,0.9501458,24.84273,73,48.15727,15.02864,60,44.97136,19.41342,"L1",
1,0.9542917,24.48552,73,48.51448,14.99366,60,45.00634,19.41313,"L1",
1,0.9584375,25.63871,73,47.36129,14.89938,60,45.10062,19.41284,"L1",
1,0.9625833,25.22693,73,47.77307,14.92439,60,45.07561,19.41255,"L1",
1,0.9667292,24.79705,73,48.20295,15.06605,60,44.93395,19.41226,"L1",
1,0.9708750,24.44477,73,48.55523,15.10655,60,44.89345,19.41198,"L1",
1,0.9750208,24.1986,73,48.80141,14.9499,60,45.0501,19.41169,"L1",
1,0.9791667,25.49712,73,47.50288,14.87348,60,45.12652,19.41141,"L1",
1,0.9833125,25.63041,73,47.36959,14.93292,60,45.06708,19.41113,"L1",
1,0.9874583,24.83417,73,48.16583,14.75665,60,45.24335,19.41084,"L1",
1,0.9916042,25.38005,73,47.61995,14.80165,60,45.19835,19.41056,"L1",
1,0.9957500,23.52769,73,49.47231,14.8604,60,45.1396,19.41028,"L1",
1,0.9998958,24.31236,73,48.68764,14.89656,60,45.10344,19.41001,"L1",
1,1.0040417,23.94588,73,49.05412,14.7775,60,45.2225,19.41022,"L1",
1,1.0081875,24.11342,73,48.88658,14.86759,60,45.13242,19.41045,"L1",
1,1.0123333,24.08445,73,48.91555,14.6911,60,45.3089,19.41067,"L1",
1,1.0164792,24.42528,73,48.57472,14.66122,60,45.33878,19.4109,"L1",
1,1.0206250,23.82492,73,49.17508,14.8565,60,45.1435,19.41112,"L1",
1,1.0247708,24.5514,73,48.4486,14.80499,60,45.19501,19.41134,"L1",
1,1.0289167,24.58516,73,48.41484,14.71322,60,45.28678,19.41156,"L1",
1,1.0330625,23.80545,73,49.19455,14.63752,60,45.36248,19.41178,"L1",
1,1.0372083,24.54368,73,48.45632,14.64385,60,45.35616,19.412,"L1",
1,1.0413542,24.37568,73,48.62432,14.71101,60,45.28899,19.41222,"L1",
1,1.0455000,24.00063,73,48.99937,14.84049,60,45.15951,19.41244,"L1",
1,1.0496458,24.49122,73,48.50877,15.04746,60,44.95254,19.41266,"L1",
1,1.0537917,24.55055,73,48.44945,14.84509,60,45.15491,19.41287,"L1",
1,1.0579375,24.13215,73,48.86785,14.59017,60,45.40982,19.41309,"L1",
1,1.0620833,24.5374,73,48.4626,14.69883,60,45.30117,19.4133,"L1",
1,1.0662292,24.04908,73,48.95092,14.80662,60,45.19338,19.41352,"L1",
1,1.0703750,23.97538,73,49.02462,14.94448,60,45.05552,19.41373,"L1",
1,1.0745208,24.51313,73,48.48687,14.85471,60,45.14529,19.41394,"L1",
1,1.0786667,26.30264,73,46.69736,14.89285,60,45.10715,19.41415,"L1",
1,1.0828125,26.01702,73,46.98298,14.78302,60,45.21698,19.41436,"L1",
1,1.0869583,26.08583,73,46.91417,14.56977,60,45.43023,19.41457,"L1",
1,1.0911042,26.02517,73,46.97483,14.51395,60,45.48605,19.41478,"L1",
1,1.0952500,25.46289,73,47.53711,14.45785,60,45.54215,19.41499,"L1",
1,1.0993958,23.55302,73,49.44698,14.50213,60,45.49786,19.4152,"L1",
1,1.1035417,24.0022,73,48.9978,14.80032,60,45.19968,19.4154,"L1",
1,1.1076875,24.95438,73,48.04562,15.01914,60,44.98086,19.41561,"L1",
1,1.1118333,24.77215,73,48.22785,14.89928,60,45.10072,19.41582,"L1",
1,1.1159792,24.36377,73,48.63623,14.59619,60,45.4038,19.41602,"L1",
1,1.1201250,24.72862,73,48.27138,14.65253,60,45.34747,19.41622,"L1",
1,1.1242708,24.27592,73,48.72408,14.71292,60,45.28708,19.41642,"L1",
1,1.1284167,25.16474,73,47.83526,14.53929,60,45.46071,19.41663,"L1",
1,1.1325625,25.30768,73,47.69232,14.55478,60,45.44522,19.41683,"L1",
1,1.1367083,24.53846,73,48.46154,14.65216,60,45.34784,19.41703,"L1",
1,1.1408542,25.95597,73,47.04403,14.69485,60,45.30515,19.41723,"L1",
1,1.1450000,25.40977,73,47.59023,14.69138,60,45.30862,19.41743,"L1",
1,1.1491458,24.30064,73,48.69936,14.72648,60,45.27352,19.41763,"L1",
1,1.1532917,23.5,73,49.5,14.69222,60,45.30778,19.41782,"L1",
1,1.1574375,23.21379,73,49.78621,14.46566,60,45.53434,19.41802,"L1",
1,1.1615833,24.22888,73,48.77113,14.51574,60,45.48426,19.41821,"L1",
1,1.1657292,24.16539,73,48.83461,14.83575,60,45.16425,19.41841,"L1",
1,1.1698750,23.99003,73,49.00997,14.97355,60,45.02645,19.41861,"L1",
1,1.1740208,23.80415,73,49.19585,14.82684,60,45.17316,19.4188,"L1",
1,1.1781667,24.73567,73,48.26434,14.81918,60,45.18082,19.41899,"L1",
1,1.1823125,24.61256,73,48.38744,14.83019,60,45.16981,19.41919,"L1",
1,1.1864583,24.54187,73,48.45813,14.88302,60,45.11698,19.41938,"L1",
1,1.1906042,25.00541,73,47.99459,14.75219,60,45.24781,19.41957,"L1",
1,1.1947500,25.61663,73,47.38337,14.69772,60,45.30228,19.41976,"L1",
1,1.1988958,24.80771,73,48.19229,14.80962,60,45.19038,19.41995,"L1",
1,1.2030417,24.67968,73,48.32032,14.65818,60,45.34182,19.41989,"L1",
1,1.2071875,24.89771,73,48.10229,14.89056,60,45.10944,19.41973,"L1",
1,1.2113333,25.68776,73,47.31224,14.96677,60,45.03323,19.41958,"L1",
1,1.2154792,24.7647,73,48.2353,14.90732,60,45.09268,19.41943,"L1",
1,1.2196250,24.86115,73,48.13885,14.97708,60,45.02292,19.41927,"L1",
1,1.2237708,24.92439,73,48.07561,14.82971,60,45.17029,19.41912,"L1",
1,1.2279167,23.97242,73,49.02758,14.52144,60,45.47856,19.41897,"L1",
1,1.2320625,24.53073,73,48.46927,14.29565,60,45.70435,19.41882,"L1",
1,1.2362083,24.55739,73,48.44261,14.19201,60,45.80799,19.41867,"L1",
1,1.2403542,25.13517,73,47.86483,14.50089,60,45.49911,19.41852,"L1",
1,1.2445000,24.5951,73,48.4049,14.7507,60,45.2493,19.41837,"L1",
1,1.2486458,23.7268,73,49.27319,14.6645,60,45.3355,19.41822,"L1",
1,1.2527917,23.36017,73,49.63983,14.43546,60,45.56454,19.41807,"L1",
1,1.2569375,23.50663,73,49.49337,14.46296,60,45.53704,19.41792,"L1",
1,1.2610833,25.23954,73,47.76046,14.54296,60,45.45704,19.41777,"L1",
1,1.2652292,25.18852,73,47.81148,14.76985,60,45.23014,19.41763,"L1",
1,1.2693750,22.96838,73,50.03162,14.56094,60,45.43906,19.41748,"L1",
1,1.2735208,24.15186,73,48.84814,14.5314,60,45.4686,19.41734,"L1",
1,1.2776667,24.50606,73,48.49393,14.87507,60,45.12493,19.41719,"L1",
1,1.2818125,25.0812,73,47.9188,14.73193,60,45.26807,19.41704,"L1",
1,1.2859583,24.83739,73,48.16261,14.57629,60,45.42371,19.4169,"L1",
1,1.2901042,24.03243,73,48.96757,14.50243,60,45.49757,19.41676,"L1",
1,1.2942500,25.15659,73,47.84341,14.63115,60,45.36885,19.41661,"L1",
1,1.2983958,25.68799,73,47.31201,14.70772,60,45.29228,19.41647,"L1",
1,1.3025417,23.89072,73,49.10928,14.76045,60,45.23955,19.41632,"L1",
1,1.3066875,24.45768,73,48.54232,14.61149,60,45.38851,19.41618,"L1",
1,1.3108333,24.73555,73,48.26445,14.51567,60,45.48433,19.41604,"L1",
1,1.3149792,25.93671,73,47.06329,14.46811,60,45.53188,19.4159,"L1",
1,1.3191250,25.06474,73,47.93526,14.25961,60,45.74039,19.41576,"L1",
1,1.3232708,23.964,73,49.036,14.42461,60,45.57539,19.41562,"L1",
1,1.3274167,24.80811,73,48.19189,14.55725,60,45.44275,19.41548,"L1",
1,1.3315625,24.75444,73,48.24556,14.53831,60,45.46169,19.41534,"L1",
1,1.3357083,23.33212,73,49.66788,14.46976,60,45.53024,19.4152,"L1",
1,1.3398542,24.1802,73,48.81979,14.70056,60,45.29944,19.41506,"L1",
1,1.3440000,23.09253,73,49.90747,14.84476,60,45.15524,19.41492,"L1",
1,1.3481458,24.53822,73,48.46178,14.666,60,45.334,19.41478,"L1",
1,1.3522917,25.06814,73,47.93186,14.51613,60,45.48387,19.41465,"L1",
1,1.3564375,24.60662,73,48.39338,14.64865,60,45.35135,19.41451,"L1",
1,1.3605833,23.78324,73,49.21676,14.81511,60,45.18489,19.41437,"L1",
1,1.3647292,23.89839,73,49.10161,14.84204,60,45.15796,19.41424,"L1",
1,1.3688750,24.50146,73,48.49854,14.81848,60,45.18152,19.4141,"L1",
1,1.3730208,24.15019,73,48.84981,14.74363,60,45.25637,19.41396,"L1",
1,1.3771667,24.38421,73,48.61579,14.64144,60,45.35855,19.41383,"L1",
1,1.3813125,25.26324,73,47.73676,14.66942,60,45.33058,19.41369,"L1",
1,1.3854583,25.26453,73,47.73547,14.65073,60,45.34927,19.41356,"L1",
1,1.3896042,24.0587,73,48.9413,14.52574,60,45.47426,19.41343,"L1",
1,1.3937500,24.13445,73,48.86555,14.97054,60,45.02946,19.41329,"L1",
1,1.3978958,23.93297,73,49.06703,14.95804,60,45.04196,19.41316,"L1",
1,1.4020417,24.0013,73,48.9987,14.60246,60,45.39754,19.41303,"L1",
1,1.4061875,23.31508,73,49.68492,14.63608,60,45.36391,19.41289,"L1",
1,1.4103333,23.7253,73,49.2747,14.7852,60,45.2148,19.41276,"L1",
1,1.4144792,23.96964,73,49.03036,14.79514,60,45.20486,19.41263,"L1",
1,1.4186250,25.19161,73,47.80839,14.73353,60,45.26647,19.4125,"L1",
1,1.4227708,25.56516,73,47.43484,14.70921,60,45.29079,19.41237,"L1",
1,1.4269167,24.52653,73,48.47347,14.77935,60,45.22065,19.41224,"L1",
1,1.4310625,24.07861,73,48.92139,14.84173,60,45.15826,19.41211,"L1",
1,1.4352083,24.98417,73,48.01583,14.95949,60,45.04051,19.41198,"L1",
1,1.4393542,24.17642,73,48.82358,14.73604,60,45.26395,19.41185,"L1",
1,1.4435000,24.28812,73,48.71188,14.828,60,45.172,19.41172,"L1",
1,1.4476458,23.93967,73,49.06033,14.66694,60,45.33306,19.41159,"L1",
1,1.4517917,23.99562,73,49.00438,14.42195,60,45.57804,19.41146,"L1",
1,1.4559375,23.63723,73,49.36277,14.45577,60,45.54423,19.41134,"L1",
1,1.4600833,24.93465,73,48.06535,14.71033,60,45.28967,19.41121,"L1",
1,1.4642292,25.78821,73,47.21179,14.94774,60,45.05226,19.41108,"L1",
1,1.4683750,25.79381,73,47.20618,14.90686,60,45.09314,19.41096,"L1",
1,1.4725208,24.38244,73,48.61756,14.57734,60,45.42266,19.41083,"L1",
1,1.4766667,24.86819,73,48.13181,14.52034,60,45.47966,19.4107,"L1",
1,1.4808125,25.1101,73,47.8899,14.59168,60,45.40833,19.41058,"L1",
1,1.4849583,25.36822,73,47.63177,14.54882,60,45.45118,19.41045,"L1",
1,1.4891042,26.11534,73,46.88467,14.6464,60,45.3536,19.41033,"L1",
1,1.4932500,24.94605,73,48.05395,14.81712,60,45.18288,19.4102,"L1",
1,1.4973958,24.05678,73,48.94321,14.69107,60,45.30893,19.41008,"L1",
1,1.5015417,24.42944,73,48.57056,14.74764,60,45.25236,19.41004,"L1",
1,1.5056875,23.7214,73,49.2786,14.91128,60,45.08872,19.41013,"L1",
1,1.5098333,24.95996,73,48.04004,14.77944,60,45.22057,19.41023,"L1",
1,1.5139792,25.04448,73,47.95552,14.98746,60,45.01254,19.41032,"L1",
1,1.5181250,24.94159,73,48.05841,14.90869,60,45.09132,19.41042,"L1",
1,1.5222708,24.95144,73,48.04855,14.66122,60,45.33878,19.41051,"L1",
